모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
Mercedes-Benz E 300 e 4MATIC FL,벤츠,승용차,일반형,2.5 / 10.3,30,2.4 / 9.4,2.6 / 11.6,PHEV
Mercedes-Benz GLC300 e 4MATIC,벤츠,승용차,다목적형,2.3 / 9.4,25,2.3 / 9,2.3 / 9.9,PHEV
Mercedes-Benz GLC300 e 4MATIC Coupe,벤츠,승용차,다목적형,2.3 / 9.4,25,2.3 / 9,2.3 / 9.9,PHEV
Explorer 3.0 PHEV,포드,승용차,다목적형,2.4 / 9.3,30,2.3 / 8.8,2.6 / 10.1,PHEV
Lincoln Aviator 3.0 PHEV,포드,승용차,다목적형,2.4 / 9.3,30,2.3 / 8.8,2.6 / 10.1,PHEV
페라리 SF90 Stradale,페라리,승용차,일반형,2.7 / 7.4,15,2.7 / 6.9,2.8 / 8.1,PHEV
페라리 SF90 Stradale Assetto Fiorano,페라리,승용차,일반형,2.7 / 7.4,15,2.7 / 6.9,2.8 / 8.1,PHEV
Mercedes-Benz S 560 e,벤츠,승용차,일반형,2.6 / 10.1,31,2.4 / 9.4,2.8 / 11.1,PHEV
Mercedes-Benz E 300 e 4MATIC,벤츠,승용차,일반형,2.5 / 10.3,30,2.4 / 9.4,2.6 / 11.6,PHEV
Mercedes-Benz S 560 e,벤츠,승용차,일반형,2.6 / 10.1,31,2.4 / 9.4,2.8 / 11.1,PHEV
E300e,벤츠,승용차,일반형,2.5 / 10.3,31,2.4 / 9.6,2.7 / 11.4,PHEV
토요타 Prius Prime,토요타,승용차,일반형,6.4 / 21.4,40,7.1 / 23,5.8 / 19.6,PHEV
아이오닉 1.6GDI 플러그인하이브리드 개조차_6DCT,현대,승용차,일반형,5.5 / 20.5,46,5.6 / 21.1,5.4 / 19.7,PHEV
C350 e,벤츠,승용차,일반형,3 / 12.7,15,2.7 / 12.5,3.3 / 13.1,PHEV
GLC350 e 4Matic,벤츠,승용차,다목적형,2.6 / 10.2,17,2.6 / 9.6,2.8 / 11.1,PHEV
K5(JF) 2.0GDI 플러그인하이브리드 개조차,기아,승용차,일반형,4.8 / 17,45,4.7 / 16.3,4.8 / 17.9,PHEV
GLC350 e 4Matic,벤츠,승용차,다목적형,2.3 / 9.7,15,2 / 9.1,2.6 / 10.6,PHEV
니로(DE) 1.6GDI 플러그인 하이브리드_6DCT (15),기아,승용차,기타형,5.1 / 18.6,40,5.5 / 19.2,4.7 / 17.8,PHEV
아이오닉 1.6GDI 플러그인하이브리드_6DCT (15),현대,승용차,일반형,5.5 / 20.5,46,5.6 / 21.1,5.4 / 19.7,PHEV
넥쏘(NH2) FCEV 18인치(익스클루시브),현대,승용차,다목적형,107.6,,113.7,100.9,FCEV
